"latitude","longitude","date"
41.23739,-81.60576,"6/4/2011"
NA,NA,""
41.21424,-81.5168,"5/24/2015"
41.23925,-81.62295,"5/28/2019"
41.36755,-80.76735,"2/1/2000"
41.42579,-80.89096,"8/7/2004"
39.74678,-89.34647,"3/1/2005"
40.62147,-81.34993,"6/15/1988"
40.36831,-81.32809,"9/15/1988"
40.27488,-81.51749,"5/1/1997"
40.6298,-81.5693,"10/12/2002"
40.20275,-81.1188,"2/28/2007"
40.47672,-81.39331,"6/20/2008"
39.25109,-82.3997,"1/1/1956"
39.14299,-82.41166,"10/1/1987"
39.17029,-82.47604,"5/25/2000"
39.24523,-82.27037,"6/20/2004"
39.42606,-84.10463,"4/12/2020"
39.40836,-84.10006,"2/28/2023"
42.24542,-77.98756,"1/16/1999"
NA,NA,""
NA,NA,""
42.15947,-78.82683,"10/15/2004"
42.06832,-78.7492,"7/23/2013"
NA,NA,""
NA,NA,""
NA,NA,""
39.49265,-83.11422,"7/1/1980"
39.70042,-84.62567,"5/18/1977"
41.30265,-81.30896,"6/6/1962"
39.17257,-83.26393,"12/22/1999"
39.78594,-82.29162,"6/1/1978"
41.48962,-83.06977,"4/20/1974"
39.63382,-81.40079,"1/15/1958"
40.04603,-82.14536,"3/11/1995"
40.38609,-82.69884,"6/1/1977"
39.61205,-84.36754,"9/14/1988"
39.75531,-81.02917,"2/15/1994"
39.9784,-84.1735,"9/1/2000"
41.02572,-81.77677,"9/1/1976"
41.1174,-80.9835,"8/1/1972"
39.96627,-83.51394,"2/18/2003"
41.38274,-82.12263,"7/1/1967"
41.40985,-82.11172,"8/15/1985"
41.27939,-82.21939,"10/15/1987"
41.05304,-80.51186,"7/1/1998"
41.09087,-80.77592,"9/30/2001"
41.12884,-80.85832,"4/1/2006"
40.95818,-80.97507,"8/12/2009"
41.11447,-80.14099,"3/24/2012"
40.94825,-80.69776,"11/12/2013"
40.91197,-80.70913,"7/17/2021"
41.09302,-81.82391,"9/30/1978"
41.12012,-81.81317,"9/20/1992"
41.06019,-81.79669,"10/1/2000"
41.06648,-81.96419,"9/25/2001"
41.03,-82.0101,"5/1/2003"
41.11417,-82.07824,"4/13/2013"
41.22248,-81.91616,"6/25/2013"
40.9994,-81.71439,"8/14/2021"
39.89172,-84.14493,"9/3/2003"
40.04342,-84.04518,"2/6/2009"
NA,NA,""
39.8494,-84.15971,"8/15/2004"
39.63662,-84.36874,"2/15/2005"
NA,NA,""
40.4764,-82.80257,"1/1/1978"
