"latitude","longitude","county"
40.77789,-81.25768,"Stark County"
40.90177,-81.26729,"Stark County"
40.79438,-81.31219,"Stark County"
41.29621,-81.5745,"Summit County"
41.31609,-81.56152,"Summit County"
41.23638,-81.62379,"Summit County"
41.35208,-81.57021,"Summit County"
41.2584,-81.56255,"Summit County"
41.25248,-81.60838,"Summit County"
41.16984,-81.64181,"Summit County"
41.23739,-81.60576,"Summit County"
NA,NA,"Summit County"
41.21424,-81.5168,"Summit County"
41.23925,-81.62295,"Summit County"
41.36755,-80.76735,"Trumbull County"
41.42579,-80.89096,"Trumbull County"
39.74678,-89.34647,"Trumbull County"
40.62147,-81.34993,"Tuscarawas County"
40.36831,-81.32809,"Tuscarawas County"
40.27488,-81.51749,"Tuscarawas County"
40.6298,-81.5693,"Tuscarawas County"
40.20275,-81.1188,"Tuscarawas County"
40.47672,-81.39331,"Tuscarawas County"
39.25109,-82.3997,"Vinton County"
39.14299,-82.41166,"Vinton County"
39.17029,-82.47604,"Vinton County"
39.24523,-82.27037,"Vinton County"
39.42606,-84.10463,"Warren County"
39.40836,-84.10006,"Warren County"
42.24542,-77.98756,"Allegany County"
NA,NA,"Broome County"
NA,NA,"Cattaraugus County"
42.15947,-78.82683,"Cattaraugus County"
42.06832,-78.7492,"Cattaraugus County"
NA,NA,"Chemung County"
NA,NA,"Chemung County"
NA,NA,"Chenango County"
39.49265,-83.11422,"Ross County"
39.70042,-84.62567,"Preble County"
41.30265,-81.30896,"Portage County"
39.17257,-83.26393,"Pike County"
39.78594,-82.29162,"Perry County"
41.48962,-83.06977,"Ottawa County"
39.63382,-81.40079,"Noble County"
40.04603,-82.14536,"Muskingum County"
40.38609,-82.69884,"Morrow County"
39.61205,-84.36754,"Montgomery County"
39.75531,-81.02917,"Monroe County"
39.9784,-84.1735,"Miami County"
41.02572,-81.77677,"Medina County"
41.1174,-80.9835,"Mahoning County"
39.96627,-83.51394,"Madison County"
41.38274,-82.12263,"Lorain County"
41.40985,-82.11172,"Lorain County"
41.27939,-82.21939,"Lorain County"
41.05304,-80.51186,"Mahoning County"
41.09087,-80.77592,"Mahoning County"
41.12884,-80.85832,"Mahoning County"
40.95818,-80.97507,"Mahoning County"
41.11447,-80.14099,"Mahoning County"
40.94825,-80.69776,"Mahoning County"
40.91197,-80.70913,"Mahoning County"
41.09302,-81.82391,"Medina County"
41.12012,-81.81317,"Medina County"
41.06019,-81.79669,"Medina County"
41.06648,-81.96419,"Medina County"
41.03,-82.0101,"Medina County"
41.11417,-82.07824,"Medina County"
41.22248,-81.91616,"Medina County"
40.9994,-81.71439,"Medina County"
39.89172,-84.14493,"Miami County"
40.04342,-84.04518,"Miami County"
NA,NA,"Miami County"
39.8494,-84.15971,"Montgomery County"
39.63662,-84.36874,"Montgomery County"
NA,NA,"Montgomery County"
40.4764,-82.80257,"Morrow County"
40.46339,-82.82576,"Morrow County"
40.5896,-82.82214,"Morrow County"
40.50945,-82.87663,"Morrow County"
NA,NA,"Morrow County"
39.90416,-81.98721,"Muskingum County"
40.01209,-82.13298,"Muskingum County"
39.88653,-81.27132,"Noble County"
39.64081,-81.47081,"Noble County"
39.93154,-81.28671,"Noble County"
39.64193,-82.1013,"Perry County"
39.63255,-82.26463,"Perry County"
39.59607,-82.35291,"Perry County"
39.10611,-83.0363,"Pike County"
39.0895,-82.8342,"Pike County"
39.05922,-83.07492,"Pike County"
41.10715,-81.1414,"Portage County"
41.31405,-81.38112,"Portage County"
41.06499,-81.3741,"Portage County"
41.15845,-81.33134,"Portage County"
41.18518,-81.03764,"Portage County"
41.16187,-81.37181,"Portage County"
41.15384,-81.1124,"Portage County"
41.2599,-81.1455,"Portage County"
41.17646,-81.32425,"Portage County"
41.13021,-81.11578,"Portage County"
40.98596,-81.11642,"Portage County"
41.13356,-81.17155,"Portage County"
41.3235,-81.22745,"Portage County"
41.05931,-81.3654,"Portage County"
NA,NA,"Portage County"
41.13183,-81.11617,"Portage County"
NA,NA,"Portage County"
41.06194,-81.36305,"Portage County"
39.64146,-84.48506,"Preble County"
39.65361,-84.66399,"Preble County"
39.65625,-84.51192,"Preble County"
NA,NA,"Preble County"
40.92276,-82.44401,"Richland County"
40.74705,-82.64864,"Richland County"
40.61236,-82.48699,"Richland County"
39.10495,-82.79665,"Ross County"
39.20212,-83.13585,"Ross County"
40.00915,-82.67252,"Licking County"
38.54852,-82.66616,"Lawrence County"
41.7164,-81.1438,"Lake County"
40.36462,-82.24197,"Knox County"
40.34042,-80.64211,"Jefferson County"
41.0672,-82.41861,"Huron County"
40.59935,-82.23988,"Holmes County"
39.48219,-82.32669,"Hocking County"
40.33345,-81.26559,"Harrison County"
40.6445,-83.6118,"Hardin County"
41.14896,-83.43667,"Hancock County"
39.26903,-84.25986,"Hamilton County"
39.745,-83.825,"Greene County"
NA,NA,"Geauga County"
38.88059,-82.43382,"Gallia County"
38.79833,-82.54968,"Gallia County"
38.79381,-82.55177,"Gallia County"
38.9264,-82.14285,"Gallia County"
38.965,-82.905,"Gallia County"
41.44442,-81.20629,"Geauga County"
41.47349,-81.3726,"Geauga County"
41.39803,-81.33974,"Geauga County"
41.5325,-81.1351,"Geauga County"
41.5621,-81.22853,"Geauga County"
41.57231,-81.22075,"Geauga County"
41.50086,-81.28275,"Geauga County"
41.38199,-81.27506,"Geauga County"
39.74961,-84.09158,"Greene County"
39.6543,-83.7278,"Greene County"
40.08946,-81.69818,"Guernsey County"
40.17699,-81.63656,"Guernsey County"
39.95329,-81.39827,"Guernsey County"
40.10801,-81.56232,"Guernsey County"
40.0799,-81.49697,"Guernsey County"
39.92781,-81.61014,"Guernsey County"
40.1218,-81.5117,"Guernsey County"
40.1138,-81.5518,"Guernsey County"
40.11632,-81.52101,"Guernsey County"
40.11682,-81.4936,"Guernsey County"
40.10348,-81.50933,"Guernsey County"
40.12719,-81.50403,"Guernsey County"
40.14003,-81.49033,"Guernsey County"
NA,NA,"Guernsey County"
40.01452,-81.34529,"Guernsey County"
40.6559,-83.9374,"Hardin County"
40.42655,-81.25576,"Harrison County"
40.42687,-81.2558,"Harrison County"
40.36207,-81.18504,"Harrison County"
40.24786,-81.15179,"Harrison County"
40.16912,-80.62003,"Harrison County"
40.26059,-81.22332,"Harrison County"
40.30527,-80.93864,"Harrison County"
40.40611,-81.13733,"Harrison County"
40.30824,-81.24778,"Harrison County"
40.40192,-81.08803,"Harrison County"
39.39935,-82.52238,"Hocking County"
39.58157,-82.36887,"Hocking County"
NA,NA,"Hocking County"
39.56573,-82.49833,"Hocking County"
39.57143,-82.49968,"Hocking County"
40.61286,-82.17295,"Holmes County"
40.61286,-82.17295,"Holmes County"
40.62731,-82.12366,"Holmes County"
40.59307,-82.14194,"Holmes County"
40.60291,-82.16943,"Holmes County"
41.06939,-82.36591,"Huron County"
40.36957,-80.77387,"Jefferson County"
40.54269,-80.89606,"Jefferson County"
40.2831,-80.78826,"Jefferson County"
40.39103,-80.6937,"Jefferson County"
40.3725,-80.67828,"Jefferson County"
40.42591,-80.6616,"Jefferson County"
40.29771,-80.75612,"Jefferson County"
40.36887,-80.81801,"Jefferson County"
NA,NA,"Lake County"
38.60551,-82.71107,"Lawrence County"
40.05998,-82.28814,"Licking County"
39.74107,-82.70263,"Fairfield County"
41.42364,-82.82491,"Erie County"
40.26494,-83.0556,"Delaware County"
41.34728,-84.54476,"Defiance County"
